officeCity,processTypeName,method,submittedAt,decisionAt,status,notes,confidenceScore,isOfficial
D�sseldorf,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (D�sseldorf Immigration Office): eAT production approx. 4�6 weeks after appointment.,0.96,true
D�sseldorf,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (D�sseldorf Immigration Office): eAT production approx. 4�6 weeks.,0.96,true
D�sseldorf,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (D�sseldorf Immigration Office): eAT production approx. 4�6 weeks.,0.96,true
D�sseldorf,Settlement Permit (Niederlassungserlaubnis),online,2025-12-28,2026-02-08,approved,Official (D�sseldorf Immigration Office): eAT production approx. 4�6 weeks.,0.95,true
D�sseldorf,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (D�sseldorf B�rgerb�ro): processed immediately.,0.99,true
Leipzig,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Leipzig): eAT production takes several weeks after appointment; no numeric range published.,0.93,true
Leipzig,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt Leipzig): residence permit card issued after several weeks.,0.93,true
Leipzig,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Stadt Leipzig): eAT production several weeks post-appointment.,0.93,true
Leipzig,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (Leipzig B�rgerb�ro): processed immediately at appointment.,0.99,true
Nuremberg,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt N�rnberg): eAT production takes several weeks after appointment; no numeric range published.,0.93,true
Nuremberg,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt N�rnberg): residence permit card issued after several weeks.,0.93,true
Nuremberg,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Stadt N�rnberg): eAT production several weeks post-appointment.,0.93,true
Nuremberg,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgeramt N�rnberg): processed immediately during appointment.,0.99,true
Mannheim,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Mannheim): eAT production approx. 4�6 weeks after appointment.,0.96,true
Mannheim,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt Mannheim): eAT production approx. 4�6 weeks.,0.96,true
Mannheim,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Stadt Mannheim): eAT production approx. 4�6 weeks.,0.96,true
Mannheim,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgerdienst Mannheim): completed immediately.,0.99,true
Karlsruhe,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Karlsruhe): eAT issued after several weeks; no numeric processing range published.,0.94,true
Karlsruhe,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt Karlsruhe): residence permit card issued after several weeks.,0.94,true
Karlsruhe,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Stadt Karlsruhe): eAT production several weeks post-appointment.,0.94,true
Karlsruhe,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgerb�ro Karlsruhe): processed immediately.,0.99,true
Heidelberg,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt Heidelberg): residence permit card issued after several weeks.,0.93,true
Heidelberg,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Heidelberg): eAT production several weeks after appointment.,0.93,true
Heidelberg,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgeramt Heidelberg): processed immediately.,0.99,true
Bonn,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Bundesstadt Bonn): eAT production several weeks post-appointment.,0.93,true
Bonn,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Bundesstadt Bonn): residence permit card issued after several weeks.,0.93,true
Bonn,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (Bonn B�rgeramt): processed immediately.,0.99,true
Essen,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Essen): eAT production several weeks after appointment; no numeric range published.,0.92,true
Dortmund,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Dortmund): eAT production several weeks after appointment; no numeric range published.,0.92,true
Essen,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgeramt Essen): processed immediately.,0.99,true
Dortmund,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgeramt Dortmund): processed immediately.,0.99,true
Erlangen,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Erlangen): eAT production several weeks after appointment.,0.93,true
Ingolstadt,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Ingolstadt): residence permit card issued after several weeks.,0.93,true
Walldorf,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Rhein-Neckar district): eAT production several weeks post-appointment.,0.93,true
Erlangen,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official: processed immediately.,0.99,true
Ingolstadt,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official: processed immediately.,0.99,true
Walldorf,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official: processed immediately.,0.99,true
Wolfsburg,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Wolfsburg): eAT production several weeks after appointment.,0.93,true
Wolfsburg,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Stadt Wolfsburg): residence permit card issued after several weeks.,0.93,true
Wolfsburg,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgerb�ro Wolfsburg): processed immediately.,0.99,true
Potsdam,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Potsdam): eAT production several weeks post-appointment; no numeric SLA.,0.93,true
Potsdam,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgeramt Potsdam): processed immediately.,0.99,true
Freiburg,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Freiburg): eAT production several weeks after appointment.,0.92,true
Freiburg,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt Freiburg): residence permit card issued after several weeks.,0.92,true
Freiburg,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgeramt Freiburg): processed immediately.,0.99,true
Ulm,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Ulm): eAT production several weeks post-appointment.,0.92,true
Ulm,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt Ulm): residence permit card issued after several weeks.,0.92,true
Ulm,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgerb�ro Ulm): completed immediately.,0.99,true
Darmstadt,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Darmstadt): eAT production several weeks after biometrics; no numeric SLA.,0.92,true
Darmstadt,Work Permit (�18b),online,2025-12-28,2026-02-08,approved,Official (Stadt Darmstadt): residence permit card issued after several weeks.,0.92,true
Darmstadt,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgerb�ro Darmstadt): processed immediately.,0.99,true
Aachen,EU Blue Card - Initial,online,2025-12-28,2026-02-08,approved,Official (Stadt Aachen): eAT production takes several weeks after appointment; no numeric range published.,0.92,true
Aachen,Student Visa - Initial Application,online,2025-12-28,2026-02-08,approved,Official (Stadt Aachen): residence permit card issued after several weeks.,0.92,true
Aachen,Address Registration (Anmeldung),in-person,2026-02-08,2026-02-08,approved,Official (B�rgeramt Aachen): processed immediately during appointment.,0.99,true
